SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,NAME_CLIENT_TYPE,NAME_PORTFOLIO,CHANNEL_TYPE,CNT_PAYMENT,NAME_YIELD_GROUP,LOAN_ACTIVITY_SCORE
271877,Consumer loans,1730.43,17145.0,17145.0,17145.0,SATURDAY,Approved,73,Cash through the bank,Repeater,POS,Country-wide,12.0,High,2
108129,Cash loans,25188.615,607500.0,679671.0,607500.0,THURSDAY,Approved,164,Cash through the bank,Repeater,Cash,Contact center,36.0,Low,2
122040,Cash loans,15060.735,112500.0,136444.5,112500.0,TUESDAY,Approved,301,Cash through the bank,Repeater,Cash,Credit and cash offices,12.0,High,2
176158,Cash loans,47041.335,450000.0,470790.0,450000.0,MONDAY,Approved,512,Cash through the bank,Repeater,Cash,Credit and cash offices,12.0,Middle,2
202054,Cash loans,31924.395,337500.0,404055.0,337500.0,THURSDAY,Refused,781,Cash through the bank,Repeater,Cash,Credit and cash offices,24.0,High,2
199383,Cash loans,23703.93,315000.0,340573.5,315000.0,SATURDAY,Approved,684,Cash through the bank,Repeater,Cash,Credit and cash offices,18.0,Low,2
175704,Cash loans,0.0,0.0,0.0,279000.0,TUESDAY,Canceled,14,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
296299,Cash loans,0.0,0.0,0.0,279000.0,MONDAY,Canceled,21,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
342292,Cash loans,0.0,0.0,0.0,279000.0,MONDAY,Canceled,386,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
334349,Cash loans,0.0,0.0,0.0,279000.0,SATURDAY,Canceled,57,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
447712,Cash loans,11368.62,270000.0,335754.0,270000.0,FRIDAY,Approved,735,Cash through the bank,Repeater,Cash,Credit and cash offices,54.0,Low,2
